fr,en,de,es,it,th,zh,phon,pinyin,category
Bonjour,Hello,Hallo,Hola,Ciao,สวัสดี,你好,sà-wàt-dii,nǐ hǎo,noyau
Au revoir,Goodbye,Tschüss,Adiós,Ciao,ลาก่อน,再见,làa-gɔ̀ɔn,zài jiàn,noyau
Merci,Thank you,Danke,Gracias,Grazie,ขอบคุณ,谢谢,khòp-khun,xiè xiè,noyau
Excusez-moi,Excuse me,Entschuldigung,Disculpe,Scusa,ขอโทษ,对不起,khɔ̌ɔ-thôot,duì bù qǐ,noyau
S'il vous plaît,Please,Bitte,Por favor,Per favore,กรุณา,请,kru-naa,qǐng,noyau
Combien ça coûte ?,How much is it ?,Wie viel kostet das ?,¿Cuánto cuesta ?,Quanto costa ?,ราคาเท่าไร ?,多少钱,raakhaa thâo-rai ?,duō shǎo qián,noyau
Où est...,Where is...,Wo ist...,¿Dónde está... ?,Dov'è... ?,...อยู่ที่ไหน ?,...在哪里,... yùu thîi năi ?,... zài nǎ lǐ,noyau
Je voudrais...,I would like...,Ich möchte...,Me gustaría...,Vorrei...,อยาก...,我想,yàak...,wǒ xiǎng,noyau
Du riz,Rice,Reis,Arroz,Riso,ข้าว,米饭,khâao,mǐ fàn,noyau
Du poulet,Chicken,Hähnchen,Pollo,Pollo,ไก่,鸡肉,gài,jī ròu,noyau
De l'eau,Water,Wasser,Agua,Acqua,น้ำ,náam,noyau
Une bière,Beer,Bier,Cerveza,Birra,เบียร์,bia,noyau
Un taxi,Taxi,Taxi,Taxi,Taxi,แท็กซี่,thɛ́ɛk-sìi,noyau
L'aéroport,Airport,Flughafen,Aeropuerto,Aeroporto,สนามบิน,sà-nǎam-bin,noyau
L'hôtel,Hotel,Hotel,Hotel,Hotel,โรงแรม,roong-rɛɛm,noyau
J'ai mal,It hurts,Es tut weh,Me duele,Mi fa male,ปวด,puat,noyau
Docteur,Doctor,Arzt,Médico,Dottore,หมอ,mɔ̌ɔ,noyau
Police,Police,Polizei,Policía,Polizia,ตำรวจ,tam-rùat,noyau
Aide,Help,Hilfe,Ayuda,Aiuto,ช่วยเหลือ,chûai lʉ̂a,noyau
Amour,Love,Liebe,Amor,Amore,รัก,rák,noyau
Beau/Belle,Beautiful/Handsome,Schön/Gutaussehend,Hermoso/a,Bello/a,สวย/หล่อ,sŭai/lòr,noyau
Famille,Family,Familie,Familia,Famiglia,ครอบครัว,khrɔ̂ɔp-khrua,noyau
Ami,Friend,Freund,Amigo/a,Amico/a,เพื่อน,phʉ̂an,noyau
Travail,Work,Arbeit,Trabajo,Lavoro,งาน,ngaan,noyau
École,School,Schule,Escuela,Scuola,โรงเรียน,roong-rian,noyau
Manger,Eat,Essen,Comer,Mangiare,กิน,gin,noyau
Boire,Drink,Trinken,Beber,Bere,ดื่ม,dʉ̀ʉm,noyau
Oui,Yes,Ja,Sí,Sì,ใช่,châi,noyau
Non,No,Nein,No,No,ไม่ใช่,mâi châi,noyau
Je,I,Ich,Yo,Io,ฉัน,chán,noyau
Tu,You (informal),Du,Tú,Tu,เธอ,thəər,noyau
Il/Elle,He/She,Er/Sie,Él/Ella,Lui/Lei,เขา,khǎo,noyau
Nous,We,Wir,Nosotros/as,Noi,เรา,rao,noyau
Vous,You (formal/plural),Sie,Ustedes/Vosotros/as,Voi,คุณ,khun,noyau
Ils/Elles,They,Sie,Ellos/Ellas,Loro,พวกเขา,phûak khǎo,noyau
Être,To be,Sein,Ser/Estar,Essere,เป็น,pen,noyau
Avoir,To have,Haben,Tener,Avere,มี,mii,noyau
Aller,To go,Gehen,Ir,Andare,ไป,pai,noyau
Faire,To do/Make,Machen/Tun,Hacer,Fare,ทำ,tham,noyau
Dire,To say,Sagen,Decir,Dire,พูด,phûut,noyau
Voir,To see,Sehen,Ver,Vedere,เห็น,hen,noyau
Venir,To come,Kommen,Venir,Venire,มา,maa,noyau
Pouvoir,Can,Können,Poder,Potere,สามารถ,sǎa-mâat,noyau
Vouloir,To want,Wollen,Querer,Volere,อยาก,yàak,noyau
Savoir,To know,Wissen,Saber,Sapere,รู้,rúu,noyau
Un,One,Ein,Uno,Uno,หนึ่ง,nʉ̀ng,noyau
Deux,Two,Zwei,Dos,Due,สอง,sɔ̌ɔng,noyau
Trois,Three,Drei,Tres,Tre,สาม,sǎam,noyau
Quatre,Four,Vier,Cuatro,Quattro,สี่,sìi,noyau
Cinq,Five,Fünf,Cinco,Cinque,ห้า,hâa,noyau
Six,Six,Sechs,Seis,Sei,หก,hòk,noyau
Sept,Seven,Sieben,Siete,Sette,เจ็ด,jèt,noyau
Huit,Eight,Acht,Ocho,Otto,แปด,pɛ̀ɛt,noyau
Neuf,Nine,Neun,Nueve,Nove,เก้า,gâao,noyau
Dix,Ten,Zehn,Diez,Dieci,สิบ,sìp,noyau
Rouge,Red,Rot,Rojo,Rosso,สีแดง,sǐi dɛɛng,noyau
Bleu,Blue,Blau,Azul,Blu,สีน้ำเงิน,sǐi náam ngern,noyau
Vert,Green,Grün,Verde,Verde,สีเขียว,sǐi khǐao,noyau
Jaune,Yellow,Gelb,Amarillo,Giallo,สีเหลือง,sǐi lʉ̌ang,noyau
Noir,Black,Schwarz,Negro,Nero,สีดำ,sǐi dam,noyau
Blanc,White,Weiß,Blanco,Bianco,สีขาว,sǐi khǎao,noyau
Grand,Big/Gross,Groß,Grande,Grande,ใหญ่,yài,noyau
Petit,Small/Klein,Klein,Pequeño,Piccolo,เล็ก,lék,noyau
Bon,Good,Gut,Bueno,Buono,ดี,dii,noyau
Mauvais,Bad,Schlecht,Malo,Cattivo,ไม่ดี,mâi dii,noyau
Chaud,Hot,Heiß,Caliente,Caldo,ร้อน,rɔ́ɔn,noyau
Froid,Cold,Kalt,Frío,Freddo,เย็น,yen,noyau
Nouveau,New,Neu,Nuevo,Nuovo,ใหม่,mài,noyau
Ancien,Old,Alt,Antiguo,Vecchio,เก่า,gào,noyau
Beaucoup,Many/Very,Much/Viele,Mucho,Molto,มาก,mâak,noyau
Peu,Little/Wenig,Wenig/Etwas,Poco,Poco,น้อย,nɔ́ɔi,noyau
Aujourd'hui,Today,Heute,Hoy,Oggi,วันนี้,wan níi,quotidien
Demain,Tomorrow,Morgen,Mañana,Domani,พรุ่งนี้,phrûng níi,quotidien
Hier,Yesterday,Gestern,Ayer,Ieri,เมื่อวาน,mʉ̂a waan,quotidien
Maintenant,Now,Jetzt,Ahora,Ora,ตอนนี้,ton níi,quotidien
Matin,Morning,Morgen,Mañana,Mattina,เช้า,cháao,quotidien
Soir,Evening,Abend,Tarde,Sera,เย็น,yen,quotidien
Nuit,Night,Nacht,Noche,Notte,กลางคืน,klang khʉn,quotidien
Heure,Hour/Stunde,Stunde/Uhr,Hora,Ora,ชั่วโมง,chùa moong,quotidien
Minute,Minute,Minute,Minuto,Minuto,นาที,naa-thii,quotidien
Seconde,Second,Sekunde,Segundo,Secondo,วินาที,wi-naa-thii,quotidien
Pain,Bread,Brot,Pan,Pane,ขนมปัง,khà-nom pang,quotidien
Fromage,Cheese,Käse,Queso,Formaggio,ชีส,chíis,quotidien
Lait,Milk,Milch,Leche,Latte,นม,nom,quotidien
Jus,Juice,Saft,Jugo,Succo,น้ำผลไม้,náam phǒn lá-mái,quotidien
Café,Coffee,Kaffee,Café,Caffè,กาแฟ,gaa-fɛɛ,quotidien
Thé,Tea,Tee,Té,Tè,ชา,chaa,quotidien
Vin,Wine,Wein,Vino,Vino,ไวน์,wai,quotidien
Soupe,Soup,Suppe,Sopa,Zuppa,ซุป,súp,quotidien
Salade,Salad,Salat,Ensalada,Insalata,สลัด,sà-làt,quotidien
Fruits,Fruits,Früchte,Frutas,Frutta,ผลไม้,phǒn lá-mái,quotidien
Légumes,Vegetables,Gemüse,Verduras,Verdura,ผัก,phàk,quotidien
Pomme,Apple,Apfel,Manzana,Mela,แอปเปิล,ɛɛp-pəən,quotidien
Banane,Banana,Banane,Plátano,Banana,กล้วย,glûai,quotidien
Orange,Orange,Orange,Naranja,Arancia,ส้ม,sǒm,quotidien
Tomate,Tomato,Tomate,Tomate,Pomodoro,มะเขือเทศ,má-khʉ̌a-thɛ̂ɛt,quotidien
Carotte,Carrot,Karotte,Zanahoria,Carota,แครอท,khɛɛ-rót,quotidien
Mais,Corn/Mais,Mais,Maíz,Mais,ข้าวโพด,khâao phôot,quotidien
Restaurant,Restaurant,Restaurant,Restaurante,Ristorante,ร้านอาหาร,râan aa-hǎan,quotidien
Menu,Menu,Speisekarte,Menú,Menu,เมนู,mé-nuu,quotidien
Addition,Bill/Rechnung,Rechnung,Cuenta,Conto,บิล,bil,quotidien
Cuisinier,Cook,Koch,Cocinero,Cuoco,พ่อครัว,phɔ̂ɔ khrua,quotidien
Serveur,Waiter,Kellner,Camarero,Cameriere,บริกร,bɔɔ-ri-gɔɔn,quotidien
Table,Table,Tisch,Mesa,Tavolo,โต๊ะ,tó,quotidien
Chaise,Chair,Stuhl,Silla,Sedia,เก้าอี้,gâo-îi,quotidien
Fourchette,Fork,Gabel,Tenedor,Forchetta,ส้อม,sɔ̂ɔm,quotidien
Couteau,Knife,Messer,Cuchillo,Coltello,มีด,mîit,quotidien
Cuillère,Spoon,Löffel,Cuchara,Cucchiaio,ช้อน,chɔ́ɔn,quotidien
Assiette,Plate,Teller,Plato,Piatto,จาน,jaan,quotidien
Verre,Glass,Glas,Vaso,Bicchiere,แก้ว,gɛ̂ɛo,quotidien
Tasse,Cup,Tasse,Taza,Tazza,ถ้วย,thûai,quotidien
Bus,Bus,Bus,Autobús,Autobus,รถเมล์,rót mee,quotidien
Voiture,Car,Auto,Coche,Auto,รถยนต์,rót yon,quotidien
Moto,Motorbike,Motorrad,Motocicleta,Motocicletta,มอเตอร์ไซค์,mɔɔ-thəə-sai,quotidien
Train,Train,Zug,Tren,Treno,รถไฟ,rót fai,quotidien
Avion,Airplane,Flugzeug,Avión,Aereo,เครื่องบิน,khrʉ̂ang bin,quotidien
Bateau,Boat,Schiff,Barco,Barca,เรือ,rʉa,quotidien
Vélo,Bike,Fahrrad,Bicicleta,Bicicletta,จักรยาน,jàk-grà-yaan,quotidien
Arrêt,Stop,Haltestelle,Parada,Fermata,ป้าย,pâai,quotidien
Station,Station,Station,Estación,Stazione,สถานี,sà-thǎa-nii,quotidien
Billet,Ticket,Fahrkarte,Billete,Biglietto,ตั๋ว,dtǔa,quotidien
Conducteur,Driver,Busfahrer,Conductor,Autista,คนขับ,khon khàp,quotidien
Essence,Gas/Petrol,Benzin,Gasolina,Benzina,น้ำมัน,náam man,quotidien
Parking,Parking,Parkplatz,Estacionamiento,Parcheggio,ที่จอด,thîi jɔ̀ɔt,quotidien
Route,Road,Straße,Carretera,Strada,ถนน,thà-nǒn,quotidien
Pont,Bridge,Brücke,Puente,Ponte,สะพาน,sà-paan,quotidien
Maison,House,Haus,Casa,Casa,บ้าน,bâan,quotidien
Appartement,Apartment,Wohnung,Apartamento,Appartamento,อพาร์ตเมนต์,à-pâat-mén,quotidien
Chambre,Room,Zimmer,Habitación,Stanza,ห้อง,hɔ̂ɔng,quotidien
Salle de bain,Bathroom,Badezimmer,Baño,Bagno,ห้องน้ำ,hɔ̂ɔng náam,quotidien
Cuisine,Kitchen,Küche,Cocina,Cucina,ครัว,khrua,quotidien
Salon,Living room,Wohnzimmer,Sala de estar,Soggiorno,ห้องนั่งเล่น,hɔ̂ɔng náng len,quotidien
Lit,Bed,Bett,Cama,Letto,เตียง,dtǐang,quotidien
Bureau,Desk,Schreibtisch,Escritorio,Scrivania,โต๊ะทำงาน,tó tham ngaan,quotidien
Chaise,Chair,Stuhl,Silla,Sedia,เก้าอี้,gâo-îi,quotidien
Fenêtre,Window,Fenster,Ventana,Finestra,หน้าต่าง,nâa dtàang,quotidien
Porte,Door,Tür,Puerta,Porta,ประตู,prà-dtuu,quotidien
Clé,Key,Schlüssel,Llave,Chiave,กุญแจ,gun-jɛɛ,quotidien
Électricité,Electricity,Strom,Electricidad,Elettricità,ไฟฟ้า,fai fáa,quotidien
Eau,Water,Wasser,Agua,Acqua,น้ำ,náam,quotidien
Chauffage,Heating,Heizung,Calefacción,Riscaldamento,เครื่องทำความร้อน,khrʉ̂ang tham khwaam rɔ́ɔn,quotidien
Internet,Internet,Internet,Internet,Internet,อินเทอร์เน็ต,in-thəə-nét,quotidien
Téléphone,Telephone,Telefon,Teléfono,Telefono,โทรศัพท์,tho-ra-sàp,quotidien
Ordinateur,Computer,Computer,Computadora,Computer,คอมพิวเตอร์,khɔɔm-phiw-tôe,quotidien
Télévision,Television,Fernsehen,Televisión,Televisione,โทรทัศน์,tho-ra-thát,quotidien
Radio,Radio,Radio,Radio,Radio,วิทยุ,wi-thá-yú,quotidien
Lumière,Light,Licht,Luz,Luce,แสง,sɛ̌ɛng,quotidien
Père,Father,Vater,Padre,Padre,พ่อ,phɔ̂ɔ,social
Mère,Mother,Mutter,Madre,Madre,แม่,mɛ̂ɛ,social
Fils,Son,Sohn,Hijo,Figlio,ลูกชาย,lûuk chaai,social
Fille,Daughter,Tochter,Hija,Figlia,ลูกสาว,lûuk sǎao,social
Frère,Brother,Bruder,Hermano,Fratello,พี่ชาย,phîi chaai,social
Sœur,Sister,Schwester,Hermana,Sorella,พี่สาว,phîi sǎao,social
Grand-père,Grandfather,Opa,Abuelo,Nonno,ปู่,puu,social
Grand-mère,Grandmother,Oma,Abuela,Nonna,ย่า,yâa,social
Oncle,Uncle,Onkel,Tío,Zio,ลุง,lung,social
Tante,Aunt,Tante,Tía,Zia,ป้า,pâa,social
Cousin,Cousin,Cousin,Primo/a,Cugino/a,ลูกพี่ลูกน้อง,lûuk phîi lûuk nɔ́ɔng,social
Mari,Husband,Ehemann,Marido,Marito,สามี,sǎa-mii,social
Femme,Wife,Ehefrau,Esposa,Moglie,ภรรยา,phan-rá-yaa,social
Enfant,Child,Kind,Niño/a,Bambino/a,เด็ก,dèk,social
Bébé,Baby,Baby,Bebé,Bebè,ทารก,thaa-rák,social
Garçon,Boy,Junge,Chico,Ragazzo,เด็กผู้ชาย,dèk phûu chaai,social
Fille,Girl,Mädchen,Chica,Ragazza,เด็กผู้หญิง,dèk phûu yǐng,social
Homme,Man,Mann,Hombre,Uomo,ผู้ชาย,phûu chaai,social
Femme,Woman,Frau,Mujer,Donna,ผู้หญิง,phûu yǐng,social
Content,Happy,Glücklich,Feliz,Felice,มีความสุข,mii khwaam sùk,social
Triste,Sad,Traurig,Triste,Triste,เศร้า,sào,social
Fatigué,Tired,Müde,Cansado/a,Stanco/a,เหนื่อย,nʉ̀ai,social
En colère,Angry,Wütend,Enfadado/a,Arrabbiato/a,โกรธ,groht,social
Surpris,Surprised,Überrascht,Sorprendido/a,Sorpreso/a,ตกใจ,dtòk jai,social
Effrayé,Scared,Angst,Asustado/a,Spaventato/a,กลัว,glua,social
Jaloux,Jealous,Eifersüchtig,Celoso/a,Geloso/a,อิจฉา,ìt-chaa,social
